path_id,endpoint,clock_domain,slack_ns,delay_ns,inst_ids
44,g_chan[1].u_cdc_chw.wq1_rgray[0]$_DFF_PN0_,clk_core,4.41,-0.95,22651;23583;23662;23671;23677;33412;41355;41369;41370;41373;48286;48426;48442;48486;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
45,g_chan[1].u_cdc_chw.wq2_rgray[1]$_DFF_PN0_,clk_core,4.41,-0.95,22651;23583;23662;23671;23677;33412;41355;41369;41370;41373;48286;48426;48442;48486;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
46,g_chan[1].u_cdc_chw.wbin[5]$_DFF_PN0_,clk_core,4.41,-0.95,22651;23583;23662;23671;23677;33231;41355;41369;41370;41373;48286;48426;48442;48486;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
47,g_chan[1].u_cdc_chw.wgray[3]$_DFF_PN0_,clk_core,4.41,-0.95,22651;23583;23662;23671;23677;33231;41355;41369;41370;41373;48286;48426;48442;48486;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
48,g_chan[1].u_cdc_chw.wq1_rgray[5]$_DFF_PN0_,clk_core,4.41,-0.95,22651;23583;23662;23671;23677;33231;41355;41369;41370;41373;48286;48426;48442;48486;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
49,g_chan[1].u_cdc_chw.wq2_rgray[2]$_DFF_PN0_,clk_core,4.41,-0.95,22651;23583;23662;23671;23677;33231;41355;41369;41370;41373;48286;48426;48442;48486;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
50,g_chan[1].u_cdc_chw.wq2_rgray[5]$_DFF_PN0_,clk_core,4.41,-0.95,22651;23583;23662;23671;23677;33231;41355;41369;41370;41373;48286;48426;48442;48486;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
51,g_chan[1].u_cdc_chw.wbin[0]$_DFF_PN0_,clk_core,4.41,-0.95,22651;23583;23662;23671;23677;33569;41355;41369;41370;41373;48286;48426;48442;48486;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
52,g_chan[1].u_cdc_chw.wbin[2]$_DFF_PN0_,clk_core,4.41,-0.95,22651;23583;23662;23671;23677;33569;41355;41369;41370;41373;48286;48426;48442;48486;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
53,g_chan[1].u_cdc_chw.wbin[4]$_DFF_PN0_,clk_core,4.41,-0.95,22651;23583;23662;23671;23677;33569;41355;41369;41370;41373;48286;48426;48442;48486;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
54,g_chan[1].u_cdc_chw.wgray[0]$_DFF_PN0_,clk_core,4.41,-0.95,22651;23583;23662;23671;23677;33569;41355;41369;41370;41373;48286;48426;48442;48486;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
55,g_chan[1].u_cdc_chw.wgray[1]$_DFF_PN0_,clk_core,4.41,-0.95,22651;23583;23662;23671;23677;33569;41355;41369;41370;41373;48286;48426;48442;48486;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
56,u_seq_core.addr_q[20]$_DFFE_PN0P_,clk_core,4.41,-0.95,23460;23656;23670;23672;23677;40477;41355;41369;41370;41373;48110;48196;48286;48290;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
57,u_seq_core.addr_q[7]$_DFFE_PN0P_,clk_core,4.41,-0.95,23460;23656;23670;23672;23677;40477;41355;41369;41370;41373;48110;48196;48286;48290;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
58,g_chan[1].u_cdc_chw.wq1_rgray[3]$_DFF_PN0_,clk_core,4.41,-0.95,22651;23583;23662;23671;23677;33411;41355;41369;41370;41373;48286;48426;48442;48486;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
59,g_chan[1].u_cdc_chw.wq1_rgray[4]$_DFF_PN0_,clk_core,4.41,-0.95,22651;23583;23662;23671;23677;33411;41355;41369;41370;41373;48286;48426;48442;48486;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
60,g_chan[1].u_cdc_chw.wq2_rgray[3]$_DFF_PN0_,clk_core,4.41,-0.95,22651;23583;23662;23671;23677;33411;41355;41369;41370;41373;48286;48426;48442;48486;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
61,u_seq_core.addr_q[25]$_DFFE_PN0P_,clk_core,4.41,-0.95,23457;23656;23670;23672;23677;40478;41355;41369;41370;41373;48110;48196;48286;48290;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
62,u_seq_core.beats_left[25]$_DFFE_PN0P_,clk_core,4.41,-0.95,23457;23656;23670;23672;23677;40478;41355;41369;41370;41373;48110;48196;48286;48290;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
63,u_seq_core.beats_left[26]$_DFFE_PN0P_,clk_core,4.41,-0.95,23457;23656;23670;23672;23677;40478;41355;41369;41370;41373;48110;48196;48286;48290;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
64,u_seq_core.beats_left[27]$_DFFE_PN0P_,clk_core,4.41,-0.95,23457;23656;23670;23672;23677;40478;41355;41369;41370;41373;48110;48196;48286;48290;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
65,u_seq_core.beats_left[29]$_DFFE_PN0P_,clk_core,4.41,-0.95,23457;23656;23670;23672;23677;40478;41355;41369;41370;41373;48110;48196;48286;48290;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
66,g_chan[1].u_cdc_chw.wbin[1]$_DFF_PN0_,clk_core,4.41,-0.95,22651;23583;23662;23671;23677;33568;41355;41369;41370;41373;48286;48426;48442;48486;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
67,g_chan[1].u_cdc_chw.wbin[3]$_DFF_PN0_,clk_core,4.41,-0.95,22651;23583;23662;23671;23677;33568;41355;41369;41370;41373;48286;48426;48442;48486;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
68,g_chan[1].u_cdc_chw.wq1_rgray[1]$_DFF_PN0_,clk_core,4.41,-0.95,22651;23583;23662;23671;23677;33413;41355;41369;41370;41373;48286;48426;48442;48486;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
69,g_chan[1].u_cdc_chw.wq2_rgray[0]$_DFF_PN0_,clk_core,4.41,-0.95,22651;23583;23662;23671;23677;33413;41355;41369;41370;41373;48286;48426;48442;48486;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
70,u_seq_core.beats_left[31]$_DFFE_PN0P_,clk_core,4.41,-0.95,23457;23656;23670;23672;23677;40635;41355;41369;41370;41373;48110;48196;48286;48290;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
71,u_seq_core.addr_q[10]$_DFFE_PN0P_,clk_core,4.41,-0.95,23459;23656;23670;23672;23677;40500;41355;41369;41370;41373;48110;48196;48286;48290;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
72,u_seq_core.addr_q[12]$_DFFE_PN0P_,clk_core,4.41,-0.95,23459;23656;23670;23672;23677;40500;41355;41369;41370;41373;48110;48196;48286;48290;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
73,u_seq_core.addr_q[24]$_DFFE_PN0P_,clk_core,4.41,-0.95,23459;23656;23670;23672;23677;40500;41355;41369;41370;41373;48110;48196;48286;48290;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
74,u_seq_core.addr_q[27]$_DFFE_PN0P_,clk_core,4.41,-0.95,23459;23656;23670;23672;23677;40500;41355;41369;41370;41373;48110;48196;48286;48290;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
75,u_seq_core.addr_q[30]$_DFFE_PN0P_,clk_core,4.41,-0.95,23459;23656;23670;23672;23677;40500;41355;41369;41370;41373;48110;48196;48286;48290;50125;77987;117666;117668;117669;117670;117671;117672;117673;117674;117675;117676;117677;117678;117679;117680;117681
