path_id,endpoint,clock_domain,slack_ns,delay_ns,inst_ids
75,gen_regfile_ff.register_file_i.rf_reg[384]$_DFFE_PN0P_,clk_core,1.29,-1.13,2152;4088;4127;10025;14880;14886;14887;14889;15288
76,gen_regfile_ff.register_file_i.rf_reg[412]$_DFFE_PN0P_,clk_core,1.29,-1.13,1994;4088;4126;10025;14880;14886;14887;14889;15288
77,gen_regfile_ff.register_file_i.rf_reg[416]$_DFFE_PN0P_,clk_core,1.29,-1.13,2152;4088;4127;10025;14880;14886;14887;14889;15288
78,gen_regfile_ff.register_file_i.rf_reg[418]$_DFFE_PN0P_,clk_core,1.29,-1.13,2137;4088;4127;10025;14880;14886;14887;14889;15288
79,gen_regfile_ff.register_file_i.rf_reg[419]$_DFFE_PN0P_,clk_core,1.29,-1.13,2104;4088;4127;10025;14880;14886;14887;14889;15288
80,gen_regfile_ff.register_file_i.rf_reg[444]$_DFFE_PN0P_,clk_core,1.29,-1.13,1993;4088;4126;10025;14880;14886;14887;14889;15288
81,gen_regfile_ff.register_file_i.rf_reg[448]$_DFFE_PN0P_,clk_core,1.29,-1.13,2152;4088;4127;10025;14880;14886;14887;14889;15288
82,gen_regfile_ff.register_file_i.rf_reg[450]$_DFFE_PN0P_,clk_core,1.29,-1.13,2137;4088;4127;10025;14880;14886;14887;14889;15288
83,gen_regfile_ff.register_file_i.rf_reg[476]$_DFFE_PN0P_,clk_core,1.29,-1.13,1993;4088;4126;10025;14880;14886;14887;14889;15288
84,gen_regfile_ff.register_file_i.rf_reg[480]$_DFFE_PN0P_,clk_core,1.29,-1.13,2152;4088;4127;10025;14880;14886;14887;14889;15288
85,gen_regfile_ff.register_file_i.rf_reg[482]$_DFFE_PN0P_,clk_core,1.29,-1.13,2137;4088;4127;10025;14880;14886;14887;14889;15288
86,gen_regfile_ff.register_file_i.rf_reg[508]$_DFFE_PN0P_,clk_core,1.29,-1.13,1993;4088;4126;10025;14880;14886;14887;14889;15288
87,gen_regfile_ff.register_file_i.rf_reg[640]$_DFFE_PN0P_,clk_core,1.29,-1.13,1990;4088;4126;10025;14880;14886;14887;14889;15288
88,gen_regfile_ff.register_file_i.rf_reg[64]$_DFFE_PN0P_,clk_core,1.29,-1.13,2137;4088;4127;10025;14880;14886;14887;14889;15288
89,gen_regfile_ff.register_file_i.rf_reg[668]$_DFFE_PN0P_,clk_core,1.29,-1.13,1994;4088;4126;10025;14880;14886;14887;14889;15288
90,gen_regfile_ff.register_file_i.rf_reg[672]$_DFFE_PN0P_,clk_core,1.29,-1.13,1990;4088;4126;10025;14880;14886;14887;14889;15288
91,gen_regfile_ff.register_file_i.rf_reg[700]$_DFFE_PN0P_,clk_core,1.29,-1.13,1994;4088;4126;10025;14880;14886;14887;14889;15288
92,gen_regfile_ff.register_file_i.rf_reg[732]$_DFFE_PN0P_,clk_core,1.29,-1.13,1994;4088;4126;10025;14880;14886;14887;14889;15288
93,gen_regfile_ff.register_file_i.rf_reg[764]$_DFFE_PN0P_,clk_core,1.29,-1.13,1994;4088;4126;10025;14880;14886;14887;14889;15288
94,gen_regfile_ff.register_file_i.rf_reg[768]$_DFFE_PN0P_,clk_core,1.29,-1.13,1990;4088;4126;10025;14880;14886;14887;14889;15288
95,gen_regfile_ff.register_file_i.rf_reg[796]$_DFFE_PN0P_,clk_core,1.29,-1.13,1990;4088;4126;10025;14880;14886;14887;14889;15288
