inst_id,inst_name,module,cell_type,x_um,y_um,area_um2,cap_ff,is_seq,is_clk,is_macro
6540,_32830_,ch_ctrl,MUX2_X1,377.435,90.3,1.862,4.096,0,0,0
6541,_32831_,ch_ctrl,MUX2_X1,383.895,90.3,1.862,4.096,0,0,0
6542,_32832_,ch_ctrl,MUX2_X1,378.955,90.3,1.862,4.096,0,0,0
6543,_32833_,ch_ctrl,MUX2_X1,379.335,83.3,1.862,4.096,0,0,0
6544,_32834_,ch_ctrl,MUX2_X1,381.235,83.3,1.862,4.096,0,0,0
6545,_32835_,ch_ctrl,MUX2_X1,380.285,84.7,1.862,4.096,0,0,0
6546,_32836_,ch_ctrl,MUX2_X1,379.715,88.9,1.862,4.096,0,0,0
6547,_32837_,ch_ctrl,MUX2_X1,369.645,88.9,1.862,4.096,0,0,0
6548,_32838_,ch_ctrl,MUX2_X1,372.305,84.7,1.862,4.096,0,0,0
6549,_32839_,ch_ctrl,MUX2_X1,369.645,84.7,1.862,4.096,0,0,0
6550,_32840_,ch_ctrl,MUX2_X1,367.935,81.9,1.862,4.096,0,0,0
6551,_32841_,ch_ctrl,MUX2_X1,366.605,81.9,1.862,4.096,0,0,0
6552,_32842_,ch_ctrl,MUX2_X1,369.265,81.9,1.862,4.096,0,0,0
6553,_32843_,ch_ctrl,MUX2_X1,370.975,84.7,1.862,4.096,0,0,0
6554,_32844_,ch_ctrl,MUX2_X1,371.165,88.9,1.862,4.096,0,0,0
6555,_32845_,ch_ctrl,MUX2_X1,362.615,100.1,1.862,4.096,0,0,0
6556,_32846_,ch_ctrl,MUX2_X1,358.625,100.1,1.862,4.096,0,0,0
6557,_32847_,ch_ctrl,MUX2_X1,361.285,98.7,1.862,4.096,0,0,0
6558,_32848_,ch_ctrl,MUX2_X1,362.615,90.3,1.862,4.096,0,0,0
6559,_32849_,ch_ctrl,MUX2_X1,359.575,93.1,1.862,4.096,0,0,0
6560,_32850_,ch_ctrl,MUX2_X1,361.665,93.1,1.862,4.096,0,0,0
6561,_32851_,ch_ctrl,MUX2_X1,362.995,93.1,1.862,4.096,0,0,0
6562,_32852_,ch_ctrl,MUX2_X1,353.875,90.3,1.862,4.096,0,0,0
6563,_32853_,ch_ctrl,MUX2_X1,353.875,94.5,1.862,4.096,0,0,0
6564,_32854_,ch_ctrl,MUX2_X1,355.395,90.3,1.862,4.096,0,0,0
6565,_32855_,ch_ctrl,MUX2_X1,355.965,84.7,1.862,4.096,0,0,0
6566,_32856_,ch_ctrl,MUX2_X1,359.195,84.7,1.862,4.096,0,0,0
