design,scenario,std_mv,max_mv,fitted_scale,stated_scale,resid_frac,grad_corr,clean
orfs_ssd_ctrl_cfg_run_01_p12,seq_read,0.12319489110984319,0.64,1.210132591401769,1.0,0.05868258480992884,0.6508112089695473,False
orfs_ssd_ctrl_cfg_run_01_p12,seq_write,0.12228964494697195,0.64,1.2337662337662323,1.2337662337662336,3.3675870099391766e-15,,True
orfs_ssd_ctrl_cfg_run_01_p12,rand_read_4k,0.12319489110984319,0.64,1.210132591401769,0.9999999999999998,0.05868258480992884,0.6508112089695473,False
orfs_ssd_ctrl_cfg_run_01_p12,gc_compact,0.12302071980209064,0.64,1.2140714694104995,1.0389610389610389,0.048971802301211995,0.6508214789075762,False
orfs_ssd_ctrl_cfg_run_01_p12,ecc_recover,0.12609186841821313,0.64,1.1615515438595037,0.5194805194805194,0.17518858486793848,0.6508186688611474,False
orfs_ssd_ctrl_cfg_run_02_p24,idle,0.12836027205179984,0.64039,0.836593469196297,0.06493506493506493,0.7505843459327156,0.739224393127361,False
orfs_ssd_ctrl_cfg_run_02_p24,seq_read,0.12532146179345455,0.91213,1.1543318191682532,1.0,0.15375676150253248,0.7392246448540776,False
orfs_ssd_ctrl_cfg_run_02_p24,seq_write,0.13354271712928223,1.06146,1.2337662337662334,1.2337662337662336,7.377207306415006e-16,,True
orfs_ssd_ctrl_cfg_run_02_p24,rand_read_4k,0.12532146179345455,0.91213,1.1543318191682532,0.9999999999999998,0.15375676150253248,0.7392246448540776,False
orfs_ssd_ctrl_cfg_run_02_p24,gc_compact,0.12647411498912858,0.93702,1.1675708539961427,1.0389610389610389,0.1269632053403588,0.7392254474974645,False
orfs_ssd_ctrl_cfg_run_02_p24,ecc_recover,0.11935795496359636,0.6671900000000001,0.9910497939873043,0.5194805194805194,0.4932862474812332,0.7392242759036269,False
orfs_ssd_ctrl_cfg_run_03_p24,idle,0.12805041794628935,0.64049,0.8472718474478274,0.06493506493506493,0.7405646126234718,0.779933872044388,False
orfs_ssd_ctrl_cfg_run_03_p24,seq_read,0.11655882918967185,1.01867,1.1564675203092367,1.0,0.16271521140187428,0.7799355907912215,False
orfs_ssd_ctrl_cfg_run_03_p24,seq_write,0.12223877330334805,1.1664100000000002,1.2337662337662327,1.2337662337662336,2.9363789921702573e-15,,True
orfs_ssd_ctrl_cfg_run_03_p24,rand_read_4k,0.11655882918967185,1.01867,1.1564675203092367,0.9999999999999998,0.16271521140187428,0.7799355907912215,False
orfs_ssd_ctrl_cfg_run_03_p24,gc_compact,0.11728096345234591,1.04329,1.169350511887426,1.0389610389610389,0.13476142930685422,0.7799361028969999,False
orfs_ssd_ctrl_cfg_run_03_p24,ecc_recover,0.11569123071992461,0.7149800000000001,0.997575297992742,0.5194805194805194,0.5009148677311263,0.779934180008008,False
orfs_ssd_ctrl_cfg_run_04_p16,idle,0.12962949079355574,0.64003,1.0368258982663074,0.06493506493506493,0.4232250868868449,0.681905077783964,False
orfs_ssd_ctrl_cfg_run_04_p16,seq_read,0.12103838628309482,0.6405,1.1943785365944362,1.0,0.09065301831221578,0.6819053523034809,False
orfs_ssd_ctrl_cfg_run_04_p16,seq_write,0.12104113651855555,0.68574,1.2337662337662325,1.2337662337662336,3.0513525530910072e-15,,True
orfs_ssd_ctrl_cfg_run_04_p16,rand_read_4k,0.12103838628309482,0.6405,1.1943785365944362,0.9999999999999998,0.09065301831221578,0.6819053523034809,False
orfs_ssd_ctrl_cfg_run_04_p16,gc_compact,0.12097699897169104,0.64372,1.2009431284181875,1.0389610389610389,0.07558281571254691,0.6819065850927428,False
orfs_ssd_ctrl_cfg_run_04_p16,ecc_recover,0.12379847954181107,0.64026,1.1134143365165752,0.5194805194805194,0.2708198748693928,0.6819057635648483,False
orfs_ssd_ctrl_cfg_mid,idle,0.12371341168814105,0.64094,0.6246647408025986,0.06493506493506493,2.1150552127093074,0.8736850874883022,False
orfs_ssd_ctrl_cfg_mid,seq_read,0.22813570561753824,1.27461,1.0000001150897364,1.0,1.578251115998076e-05,0.009548631934594346,False
orfs_ssd_ctrl_cfg_mid,seq_write,0.28146622239083813,1.57257,1.2337662337662347,1.2337662337662336,1.5943004726086488e-15,,True
orfs_ssd_ctrl_cfg_mid,rand_read_4k,0.22813570561753824,1.27461,1.0000001150897364,0.9999999999999998,1.578251115998076e-05,0.009548631934594346,False
orfs_ssd_ctrl_cfg_mid,gc_compact,0.237024092687709,1.32427,1.0389609356979101,1.0389610389610389,1.5732553199070917e-05,0.018236656552382935,False
orfs_ssd_ctrl_cfg_mid,ecc_recover,0.1231230363616276,1.0729,1.0792101856220853,0.5194805194805194,2.125197712349728,0.873685169026673,False
