pass_name,design,scope,signoff_clean,picp,label_max_mv,pred_max_mv,mae_mv,rmse_mv,bias_mv,r2,spearman,n
recalibrated,orfs_ssd_ctrl_cfg_run_01_p12,all_scenarios,False,0.16666666666666666,0.64,2.7536330180988844,1.0501760055680283,1.1666572370105324,1.0501760055680283,-87.64650011151885,0.08498772917413051,3456
recalibrated,orfs_ssd_ctrl_cfg_run_01_p12,seq_write_only,False,0.0,0.64,2.6464128397982543,1.5405568645547518,1.6022196202926973,1.5405568645547518,-176.62363488561837,-0.5025597683408256,576
recalibrated,orfs_ssd_ctrl_cfg_run_02_p24,all_scenarios,False,0.16666666666666666,1.06146,2.855168710277285,1.0001218437797614,1.1177548524510437,1.0001218437797614,-58.87327418480067,0.2896945017729853,3456
recalibrated,orfs_ssd_ctrl_cfg_run_02_p24,seq_write_only,False,0.0,1.06146,2.7451786393684348,1.477906910138028,1.5339375778212925,1.477906910138028,-113.15658236489796,-0.19698121150342324,576
recalibrated,orfs_ssd_ctrl_cfg_run_03_p24,all_scenarios,False,0.16666666666666666,1.1664100000000002,2.943284734393945,1.0029665129479333,1.1235030002795856,1.0029665129479333,-67.00198880343709,0.2977473353871123,3456
recalibrated,orfs_ssd_ctrl_cfg_run_03_p24,seq_write_only,False,0.0,1.1664100000000002,2.852302811988809,1.4901320296232965,1.5543376782912135,1.4901320296232965,-144.5227659046963,-0.31948727272766075,576
recalibrated,orfs_ssd_ctrl_cfg_run_04_p16,all_scenarios,False,0.16666666666666666,0.68574,2.7784956145587665,1.0394785547889818,1.1556586675355613,1.0394785547889818,-84.32120547127656,0.14565796427103356,3456
recalibrated,orfs_ssd_ctrl_cfg_run_04_p16,seq_write_only,False,0.0,0.68574,2.66969648262942,1.525839913874066,1.5856334012201079,1.525839913874066,-169.80347633475353,-0.4199985224655641,576
recalibrated,orfs_ssd_ctrl_cfg_small,all_scenarios,True,0.17592592592592593,1.8028300000000002,2.8974512643264476,0.9467555669622432,1.072245773690317,0.9459188101587411,-16.891045602776373,0.32722969120849715,3456
recalibrated,orfs_ssd_ctrl_cfg_small,seq_write_only,True,0.0,1.8028300000000002,2.788014723323045,1.3968082583217991,1.4471465396690044,1.3968082583217991,-19.519313423668144,0.39628050347651106,576
