fit_scope,design,scenario,target,signoff_clean,k_sheet,k_bump,r2,mae_mv,rmse_mv,bias_mv,spearman,pearson,label_max_mv,n
uniform_supply,orfs_gcd,seq_write/scale,tile_mean,True,0.006267015479328209,0.06267015479328208,-1.1904919971062928,2.3035826345509296,2.8573573280050932,-1.1164258261222333,0.18669080130187124,0.15912191814086435,9.591748157894738,576
uniform_supply,orfs_gcd,seq_write/scale,tile_max,True,0.005715240330108673,0.05715240330108673,-1.2518789167851798,2.416248125280531,3.005645448794423,-1.1927773350891981,0.21688749931261841,0.19366270136550917,9.593997368421054,576
uniform_supply,orfs_ssd_ctrl_cfg_small,seq_write/scale,tile_mean,True,0.14076179704794892,1.4076179704794891,0.46563122031857906,0.11745249194199932,0.15392280453438342,-0.006850195166300596,0.5752362925843046,0.6881096968644773,1.1723366513157893,576
uniform_supply,orfs_ssd_ctrl_cfg_small,seq_write/scale,tile_max,True,0.1132916137134168,1.132916137134168,0.4429186918830017,0.14806629444156102,0.19326691357663242,-0.010596922015431219,0.5718607617503211,0.6748054755680984,1.461241157894737,576
uniform_supply,orfs_ssd_ctrl_cfg_run_01_p12,seq_write/scale,tile_mean,False,0.24464452514089083,2.446445251408908,-2.1920765260183876,0.13786902553161448,0.17572484071149302,-0.05643433037606551,-0.45927139239411435,-0.505056342980282,0.5025263157894738,576
uniform_supply,orfs_ssd_ctrl_cfg_run_01_p12,seq_write/scale,tile_max,False,0.22623625383207122,2.262362538320712,-2.4244702347353773,0.14125005443494118,0.1803165073951393,-0.058213630793884315,-0.4367498072673132,-0.47806642137882416,0.5187368421052633,576
uniform_supply,orfs_ssd_ctrl_cfg_run_02_p24,seq_write/scale,tile_mean,False,0.17286852888492343,1.7286852888492343,-2.1028603240409205,0.14955777097835768,0.18398808699611213,-0.0556619854446383,-0.11014709564318027,-0.08581203475345678,0.7116846578947369,576
uniform_supply,orfs_ssd_ctrl_cfg_run_02_p24,seq_write/scale,tile_max,False,0.15559338664581884,1.5559338664581883,-1.8152387625751083,0.15841750016592968,0.19524590964277438,-0.05751565752535301,-0.0276538816962171,0.008704020646516354,0.8603412631578948,576
uniform_supply,orfs_ssd_ctrl_cfg_run_03_p24,seq_write/scale,tile_mean,False,0.1755581368231406,1.7555813682314059,-2.6315710572213513,0.14825358626863802,0.18231129078330344,-0.05845001750198995,-0.1590462097058605,-0.10904321004642031,0.7421898289473685,576
uniform_supply,orfs_ssd_ctrl_cfg_run_03_p24,seq_write/scale,tile_max,False,0.15823147962519446,1.5823147962519446,-2.3859569310050883,0.15708787328384913,0.19217095090657407,-0.06062072035033496,-0.0714495332756383,-0.010948338986152897,0.9454060000000002,576
