variant,seed,fold,design,picp,mpiw_mv
hybrid,2,3,syn_004,0.9285300925925926,6.047171731472066
hybrid,2,3,syn_006,0.7581018518518519,4.981649305397251
hybrid,2,3,syn_008,0.7745949074074074,5.339561818419874
learned_only,2,4,syn_004,0.8015046296296297,7.469629420307756
learned_only,2,4,syn_006,0.5471643518518519,7.1963424946819945
learned_only,2,4,syn_008,0.6212384259259259,9.122814698223218
hybrid,2,4,syn_004,0.8451967592592593,5.530943052351534
hybrid,2,4,syn_006,0.6883680555555556,4.596727775780515
hybrid,2,4,syn_008,0.6588541666666666,4.878611229904467
learned_only,3,0,syn_004,0.8240740740740741,7.756462382962032
learned_only,3,0,syn_006,0.6154513888888888,6.829583595400173
learned_only,3,0,syn_008,0.6932870370370371,7.969226297805413
hybrid,3,0,syn_004,0.9328703703703703,5.263636080811885
hybrid,3,0,syn_006,0.6831597222222222,4.167448431882589
hybrid,3,0,syn_008,0.7271412037037037,4.7613725096607045
learned_only,3,1,syn_004,0.9479166666666666,13.216191496235618
learned_only,3,1,syn_006,0.8995949074074074,12.734215307676111
learned_only,3,1,syn_008,0.9241898148148148,13.96023422686978
hybrid,3,1,syn_004,0.9959490740740741,9.233238903577865
hybrid,3,1,syn_006,0.8914930555555556,8.402412708072704
hybrid,3,1,syn_008,0.9311342592592593,8.979109681919402
learned_only,3,2,syn_004,0.8938078703703703,10.357984947073552
learned_only,3,2,syn_006,0.8177083333333334,9.81577678163653
learned_only,3,2,syn_008,0.8032407407407407,10.551518708935216
hybrid,3,2,syn_004,0.9748263888888888,8.467460545728695
hybrid,3,2,syn_006,0.8532986111111112,7.6059405210406315
hybrid,3,2,syn_008,0.8865740740740741,8.111941155788491
learned_only,3,3,syn_004,0.8556134259259259,9.384961148914847
learned_only,3,3,syn_006,0.7236689814814815,8.580327683145963
learned_only,3,3,syn_008,0.7598379629629629,10.09395937940726
hybrid,3,3,syn_004,0.9152199074074074,5.509967364143785
hybrid,3,3,syn_006,0.6452546296296297,4.489826158418437
hybrid,3,3,syn_008,0.625,4.928286194200436
learned_only,3,4,syn_004,0.8460648148148148,8.938874082825192
learned_only,3,4,syn_006,0.7306134259259259,7.869474728801303
learned_only,3,4,syn_008,0.7491319444444444,8.870149327830479
hybrid,3,4,syn_004,0.9308449074074074,5.902312965450812
hybrid,3,4,syn_006,0.7583912037037037,5.20025334516127
hybrid,3,4,syn_008,0.7792245370370371,5.2925023571720615
learned_only,4,0,syn_004,0.9383680555555556,13.146050520022333
learned_only,4,0,syn_006,0.8952546296296297,12.233805835002233
learned_only,4,0,syn_008,0.9285300925925926,13.087787384141551
hybrid,4,0,syn_004,0.9953703703703703,9.545697972443765
hybrid,4,0,syn_006,0.9033564814814815,8.54222165663224
hybrid,4,0,syn_008,0.9325810185185185,9.017156835178227
learned_only,4,1,syn_004,0.9172453703703703,11.65653913326823
learned_only,4,1,syn_006,0.8495370370370371,11.525936533270395
learned_only,4,1,syn_008,0.8151041666666666,12.533888243765897
hybrid,4,1,syn_004,0.9082754629629629,8.433985886240311
hybrid,4,1,syn_006,0.8347800925925926,7.386312459626265
hybrid,4,1,syn_008,0.8255208333333334,7.775502888159737
learned_only,4,2,syn_004,0.44675925925925924,7.920174246577189
