violation_f1,violation_precision,violation_recall,mae_mv,rmse_mv,r2,spearman,bias_mv,top5pct_hit,picp,mpiw_mv,raw_picp,picp_additive,mpiw_additive_mv,picp_ratio,mpiw_ratio_mv,variant,seed,fold
0.8782435129740519,0.9579100145137881,0.8108108108108109,3.653957580387631,5.042237999453234,0.8942845416388132,0.9540813032976209,-2.1417009584579922,0.8262548262548263,,,,,,,,physics_affine,2,4
0.8098901098901098,0.7326043737574552,0.9054054054054054,3.285161615548795,4.640267454266408,0.9104680917248301,0.96036277760679,1.1997130867297547,0.7277992277992278,0.6566358024691358,7.929595537737658,0.3695023148148148,0.6566358024691358,7.929595537737658,0.7208719135802469,10.935820374099197,learned_only,2,4
0.8192,0.7238454288407163,0.9434889434889435,2.110958544840507,3.293823296229016,0.9548879660088406,0.9862171961693342,0.8787698241329804,0.8204633204633205,0.7308063271604939,5.002094019345505,0.43971836419753085,0.7308063271604939,5.002094019345505,0.8071952160493827,9.014290505521155,hybrid,2,4
0.35555555555555557,1.0,0.21621621621621623,9.219778815065933,11.132607788546647,0.48466975446506533,0.9540813032976209,-9.219778815065933,0.8262548262548263,,,,,,,,physics_only,3,0
0.8773333333333333,0.9591836734693877,0.8083538083538083,3.644377497881848,5.020087953948166,0.8952112963861218,0.9540813032976209,-2.075925076644133,0.8262548262548263,,,,,,,,physics_affine,3,0
0.8333333333333334,0.850383631713555,0.816953316953317,2.956691800034438,4.236114374365458,0.9253848236023157,0.9640427496683794,-0.04401573792688241,0.7586872586872587,0.7109375,7.518424092055872,0.35648148148148145,0.7109375,7.518424092055872,0.6487268518518519,9.196915137800858,learned_only,3,0
0.8519602106495026,0.8134078212290503,0.8943488943488943,1.7887735431254732,2.848689135635982,0.9662571366135474,0.9875239851846154,0.09256747429147068,0.8223938223938224,0.7810570987654321,4.730819007451726,0.5101273148148148,0.7810570987654321,4.730819007451726,0.9066358024691358,10.160034180348084,hybrid,3,0
0.35555555555555557,1.0,0.21621621621621623,9.219778815065933,11.132607788546647,0.48466975446506533,0.9540813032976209,-9.219778815065933,0.8262548262548263,,,,,,,,physics_only,3,1
0.8777555110220442,0.9619326500732065,0.8071253071253072,3.6536604255179834,5.02863135857999,0.8948543249171997,0.9540813032976209,-2.0838652399903768,0.8262548262548263,,,,,,,,physics_affine,3,1
0.8490338164251207,0.834916864608076,0.8636363636363636,3.1257391985921767,4.354765597838273,0.9211464260785609,0.9519057055172857,0.1398274289247091,0.7915057915057915,0.9239004629629629,13.303547010260505,0.35127314814814814,0.9239004629629629,13.303547010260505,0.8459683641975309,17.129632326627835,learned_only,3,1
0.8521739130434782,0.8068057080131723,0.902948402948403,1.8406865211240029,2.804107517639964,0.9673050152934277,0.9879836442364729,0.19970154694736805,0.8359073359073359,0.9395254629629629,8.871587097856656,0.5045331790123457,0.9395254629629629,8.871587097856656,0.9757908950617284,22.08797890077647,hybrid,3,1
0.35555555555555557,1.0,0.21621621621621623,9.219778815065933,11.132607788546647,0.48466975446506533,0.9540813032976209,-9.219778815065933,0.8262548262548263,,,,,,,,physics_only,3,2
0.8704453441295547,0.9655688622754491,0.7923832923832924,3.7377252558774434,5.133794125066845,0.8904105588158895,0.9540813032976209,-2.271968443462894,0.8262548262548263,,,,,,,,physics_affine,3,2
0.8524382520582646,0.8797385620915033,0.8267813267813268,3.1616523462155164,4.430903288662715,0.918365007522663,0.9420415372777773,0.17998897139319517,0.7857142857142857,0.8382523148148148,10.241760145881765,0.34403935185185186,0.8382523148148148,10.241760145881765,0.7214506172839507,12.575967386154703,learned_only,3,2
0.8397472716829409,0.7885652642934197,0.898034398034398,1.8290844628255978,2.9178368465987545,0.9645991390949247,0.9876002440731622,0.03337019818720596,0.833976833976834,0.9048996913580247,8.061780740852605,0.4574652777777778,0.9048996913580247,8.061780740852605,0.9592978395061729,28.4024090960674,hybrid,3,2
0.35555555555555557,1.0,0.21621621621621623,9.219778815065933,11.132607788546647,0.48466975446506533,0.9540813032976209,-9.219778815065933,0.8262548262548263,,,,,,,,physics_only,3,3
0.8785046728971961,0.9619883040935673,0.8083538083538083,3.6657269810533184,5.0531748290996275,0.8938254415828102,0.9540813032976209,-2.153551005632884,0.8262548262548263,,,,,,,,physics_affine,3,3
0.8576709796672828,0.8603213844252163,0.855036855036855,3.0786291091212425,4.328411703157569,0.9220979403139279,0.9485738445264198,0.13053035288799986,0.7664092664092664,0.7797067901234568,9.353082737156024,0.4071180555555556,0.7797067901234568,9.353082737156024,0.796875,12.716651317796131,learned_only,3,3
0.8472791105909888,0.8089385474860336,0.8894348894348895,1.8624670053066843,2.911231661188161,0.9647592334384294,0.9874263806736314,0.2692687512900603,0.8281853281853282,0.728491512345679,4.976026572254218,0.4546682098765432,0.728491512345679,4.976026572254218,0.8122106481481481,8.445045355746513,hybrid,3,3
0.35555555555555557,1.0,0.21621621621621623,9.219778815065933,11.132607788546647,0.48466975446506533,0.9540813032976209,-9.219778815065933,0.8262548262548263,,,,,,,,physics_only,3,4
0.8802631578947369,0.9475920679886686,0.8218673218673219,3.6133542980432294,4.997108581228883,0.8961684379569931,0.9540813032976209,-2.0616510739708347,0.8262548262548263,,,,,,,,physics_affine,3,4
0.8479205462445685,0.8569636135508155,0.8390663390663391,3.1325990494053473,4.388171479592696,0.9199319971400924,0.9545779732286876,0.47915120215375173,0.7644787644787645,0.7752700617283951,8.559499379818993,0.3010223765432099,0.7752700617283951,8.559499379818993,0.6912615740740741,12.44395058365658,learned_only,3,4
0.8481675392670157,0.8055248618784531,0.8955773955773956,1.8723116190618803,2.8520989080863957,0.9661763104236684,0.9879383372633046,0.1735436851570944,0.8243243243243243,0.8228202160493827,5.46502288926138,0.4308449074074074,0.8228202160493827,5.46502288926138,0.8408564814814815,9.18183547311416,hybrid,3,4
0.35555555555555557,1.0,0.21621621621621623,9.219778815065933,11.132607788546647,0.48466975446506533,0.9540813032976209,-9.219778815065933,0.8262548262548263,,,,,,,,physics_only,4,0
0.8779186124082722,0.9605839416058394,0.8083538083538083,3.6497081243239733,5.023901369497948,0.8950520343768189,0.9540813032976209,-2.075668758539523,0.8262548262548263,,,,,,,,physics_affine,4,0
0.845020624631703,0.812004530011325,0.8808353808353808,2.9853654588528173,4.183421510626933,0.9272295491804143,0.960528811935611,0.09346913050527628,0.7760617760617761,0.9207175925925926,12.822547913055372,0.3653549382716049,0.9207175925925926,12.822547913055372,0.8325617283950617,15.986229352498132,learned_only,4,0
0.8470859780727062,0.7986942328618063,0.9017199017199017,1.8154981519610656,2.823824918050536,0.966843601741222,0.9875838535874095,0.09413992279463947,0.832046332046332,0.9437692901234568,9.035025488084743,0.5088734567901234,0.9437692901234568,9.035025488084743,0.9584297839506173,23.09445226903301,hybrid,4,0
0.35555555555555557,1.0,0.21621621621621623,9.219778815065933,11.132607788546647,0.48466975446506533,0.9540813032976209,-9.219778815065933,0.8262548262548263,,,,,,,,physics_only,4,1
0.8782435129740519,0.9579100145137881,0.8108108108108109,3.6411538606891862,5.019454254627687,0.8952377502409831,0.9540813032976209,-2.0829632611498945,0.8262548262548263,,,,,,,,physics_affine,4,1
0.8280739934711643,0.7431640625,0.9348894348894349,3.459525309242752,4.732235157550139,0.9068839702037634,0.9475060796724059,1.455186320593809,0.8108108108108109,0.8606288580246914,11.905454636768175,0.33719135802469136,0.8606288580246914,11.905454636768175,0.8627507716049383,19.698480215687834,learned_only,4,1
0.8106100795755968,0.7133520074696545,0.9385749385749386,2.1618812676164163,3.369295728267409,0.9527969482015531,0.9856357498908236,0.8646718187593614,0.8108108108108109,0.8561921296296297,7.865267078008772,0.4039351851851852,0.8561921296296297,7.865267078008772,0.933545524691358,24.19080529922416,hybrid,4,1
0.35555555555555557,1.0,0.21621621621621623,9.219778815065933,11.132607788546647,0.48466975446506533,0.9540813032976209,-9.219778815065933,0.8262548262548263,,,,,,,,physics_only,4,2
0.8777555110220442,0.9619326500732065,0.8071253071253072,3.730157914670009,5.16755715200169,0.8889643620458891,0.9540813032976209,-2.431941092903336,0.8262548262548263,,,,,,,,physics_affine,4,2
0.4655984919886899,1.0,0.3034398034398034,4.324859321527013,6.49108274464171,0.8248032257092507,0.9480020267254294,-2.6113681898306726,0.7992277992277992,0.6382137345679012,8.685685247106605,0.17978395061728394,0.6382137345679012,8.685685247106605,0.6697530864197531,19.5669083666966,learned_only,4,2
